City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Vanersborg,SE,58.3807,12.3234,39.9,86,75,4.61,broken clouds
251,Yellowknife,CA,62.456,-114.3525,36.12,51,0,6.91,clear sky
252,Kamenka,RU,51.3223,42.7678,38.19,71,6,7.67,clear sky
253,Vostok,RU,46.4856,135.8833,41.02,51,100,7.65,overcast clouds
254,Ampanihy,MG,-24.7,44.75,67.46,80,86,6.38,light rain
255,Pasni,PK,25.2631,63.471,85.44,68,97,14.25,overcast clouds
256,Katherine,AU,-14.4667,132.2667,91.72,43,40,14.97,scattered clouds
257,Chumikan,RU,54.7183,135.315,35.35,88,99,4.12,overcast clouds
258,Balta,UA,47.9355,29.6198,43.16,90,6,6.22,clear sky
259,Sibolga,ID,1.7427,98.7792,85.62,66,97,2.48,overcast clouds
260,Samarai,PG,-10.6167,150.6667,82.17,74,86,7.99,overcast clouds
261,Emba,KZ,48.8264,58.1442,56.82,67,89,9.8,overcast clouds
262,Buin,CL,-33.7333,-70.75,60.73,53,0,3.51,clear sky
263,Lasem,ID,-6.6922,111.4527,84.56,77,100,7.43,overcast clouds
264,Darnah,LY,32.767,22.6367,63.01,63,100,1.68,overcast clouds
265,Warsaw,PL,52.2298,21.0118,49.86,81,0,1.14,clear sky
266,Yalutorovsk,RU,56.6536,66.3006,41.86,43,100,9.78,overcast clouds
267,Kudahuvadhoo,MV,2.6708,72.8944,85.91,68,100,15.37,overcast clouds
268,Udachnyy,RU,66.4167,112.4,21.45,57,83,18.97,broken clouds
269,Olafsvik,IS,64.8945,-23.7142,43.92,88,100,14.83,overcast clouds
270,Saskylakh,RU,71.9167,114.0833,12.43,88,100,16.58,overcast clouds
271,Rock Sound,BS,24.9,-76.2,75.4,75,4,17.25,clear sky
272,Kurchum,KZ,48.5722,83.6542,70.16,19,100,25.01,overcast clouds
273,Rundu,NA,-17.9333,19.7667,60.69,55,5,4.09,clear sky
274,Ullapool,GB,57.8987,-5.1604,48.34,94,99,4.09,overcast clouds
275,Tahoua,NE,14.8888,5.2692,81.52,15,91,1.3,overcast clouds
276,Machilipatnam,IN,16.1667,81.1333,88.02,64,49,10.38,scattered clouds
277,Kongolo,CD,-5.3833,27.0,68.36,97,100,0.78,light rain
278,Aden,YE,12.7794,45.0367,82.81,77,6,6.62,clear sky
279,Ponta Do Sol,PT,32.6667,-17.1,66.83,65,0,3.94,clear sky
280,Gamba,GA,-2.65,10.0,75.29,93,27,3.78,scattered clouds
281,La Ronge,CA,55.1001,-105.2842,39.45,65,75,12.66,broken clouds
282,Letnik,RU,46.011,41.2657,51.6,79,100,10.18,overcast clouds
283,Iqaluit,CA,63.7506,-68.5145,17.33,78,20,0.0,few clouds
284,Itoman,JP,26.1247,127.6694,70.57,85,75,12.66,broken clouds
285,Olimpia,BR,-20.7372,-48.9147,67.68,66,23,4.07,few clouds
286,Griffith,US,41.5284,-87.4237,63.25,91,100,4.61,heavy intensity rain
287,Zyryanka,RU,65.75,150.85,32.02,94,56,10.74,broken clouds
288,Zhigansk,RU,66.7697,123.3711,29.34,95,100,16.53,light snow
289,Pavlikeni,BG,43.2428,25.3219,44.67,90,0,3.89,clear sky
290,San Policarpo,PH,12.1791,125.5072,84.0,66,51,8.7,broken clouds
291,Kaeo,NZ,-35.1,173.7833,68.32,77,43,6.51,scattered clouds
292,Paris,FR,48.8534,2.3488,45.1,78,0,5.75,clear sky
293,Magaria,NE,12.9983,8.9099,86.22,31,100,8.84,overcast clouds
294,Fez,MA,34.0372,-4.9998,50.25,81,0,6.91,clear sky
295,Yeniseysk,RU,58.4497,92.1703,39.83,64,100,11.5,overcast clouds
296,College,US,64.8569,-147.8028,55.47,27,40,17.27,scattered clouds
297,Katsuura,JP,35.1333,140.3,62.08,72,100,19.62,overcast clouds
